MET_ID	1	10	11	100	101	110	111	Volume corrected	min_dist	max_dist	mean_dist	Nearest Vessel Thickness	Vessel Volume	Clone1	Clone2	Clone3	Clone4	Clone5	Clone6	Clone7	Volume	Box.X.Min	Box.X.Max	Box.Y.Min	Box.Y.Max	Box.Z.Min	Box.Z.Max	MetNum_that_touches	number_of_touchPoints	total_touching_volume	total_touching_surface_area/2	centroid_x	centroid_y	centroid_z
1469	0.999705543	0.0	0.0	0.000294457	0.0	0.0	0.0	3182186.7045	0.0	130.0675108	46.79661611	15.09307	782635.062	1	0	0	1	0	0	0	81506	2426	2492	2400	2524	90	200	1469.0	66.0	35453.1945	9672.9875	2459.0	2462.0	145.0
13736	0.999833021	4.5e-06	0.0	0.000162478	0.0	0.0	0.0	86745684.94199999	0.0	193.9651716	52.18143863	13.196543	27348277.6	1	1	0	1	0	0	0	2221835	781	952	805	1108	453	831	13736.0	2352.0	3704936.07	769361.628	866.5	956.5	642.0
14150	0.999962692	3.73e-05	0.0	0.0	0.0	0.0	0.0	1046491.4538	0.0	136.121095	44.62937724	14.067003	331359.922	1	1	0	0	0	0	0	26804	2351	2412	2256	2316	458	557	14150.0	54.0	71949.13	17066.928	2381.5	2286.0	507.5
17849	0.99929951	0.0	0.0	0.00070049	0.0	0.0	0.0	5865451.073100001	0.0	96.8767583	31.40125268	15.322466	1048263.68	1	0	0	1	0	0	0	150233	812	896	1998	2110	511	615	17849.0	238.0	634256.877	108508.63	854.0	2054.0	563.0
18166	0.999845285	0.0	0.0	0.000154715	0.0	0.0	0.0	1009401.21	0.0	63.91066434	9.866824501	10.563279	301815.594	1	0	0	1	0	0	0	25854	924	968	1702	1750	517	575	18166.0	32.0	201287.636	35137.9722	946.0	1726.0	546.0
19651	0.977961433	0.0	0.0	0.022038567	0.0	0.0	0.0	14172.377175000001	0.0	27.24524889	14.55168681	9.8823395	4827.5047	1	0	0	1	0	0	0	363	976	985	1718	1729	549	560	19651.0	2.0	1351.7013	423.1139	980.5	1723.5	554.5
21616	0.997891647	0.000186031	0.0	0.001922322	0.0	0.0	0.0	1888830.3996000001	0.0	79.14933205	21.11221446	15.29946	308767.201	1	1	0	1	0	0	0	48379	2087	2170	2474	2536	588	641	21616.0	73.0	189122.324	37145.7463	2128.5	2505.0	614.5
22352	0.999636201	0.0	0.0	0.000363799	0.0	0.0	0.0	1395491.1219	18.52642373	132.4293116	83.69035827	18.737375	232917.447	1	0	0	1	0	0	0	35743	2319	2374	1505	1577	604	669					2346.5	1541.0	636.5
22426	0.981485016	0.018514984	0.0	0.0	0.0	0.0	0.0	204542.93115000002	0.0	32.46421783	7.553103536	15.020033	56810.0753	1	1	0	0	0	0	0	5239	2129	2150	2641	2676	605	631	22426.0	5.0	43138.582	6556.0328	2139.5	2658.5	618.0
24530	0.999357201	0.000642799	0.0	0.0	0.0	0.0	0.0	9596612.421	0.0	190.2138059	60.85760572	16.4853	3294018.87	1	1	0	0	0	0	0	245800	1832	2046	2758	2923	650	836	24530.0	294.0	380175.65	87115.0627	1939.0	2840.5	743.0
25133	0.978441128	0.006633499	0.014925373	0.0	0.0	0.0	0.0	23542.543898999997	23.4296719	63.13572083	41.12148348	11.768517	9268.809	1	1	1	0	0	0	0	603	1071	1084	1280	1288	663	679					1077.5	1284.0	671.0
26233	0.999381739	0.000618261	0.0	0.0	0.0	0.0	0.0	5304490.425	0.0	95.27939878	19.66349271	15.244934	839754.097	1	1	0	0	0	0	0	135865	1820	1909	2223	2297	684	784	26233.0	205.0	611084.855	112732.53	1864.5	2260.0	734.0
26792								218910.52008	4.67889611	93.25590144	51.34470011	25.769936	37422.8164	0	0	0	0	0	0	0	5607	903	936	958	980	696	733					919.5	969.0	714.5
28633								349585.30359	64.86654997	178.4165946	126.1366434	17.033321	58316.2568	0	0	0	0	0	0	0	8954	625	675	3650	3686	728	775					650.0	3668.0	751.5
28919	0.104931193	0.895068807	0.0	0.0	0.0	0.0	0.0	272359.51281	58.03306002	114.27405	91.52051659	9.335743	59822.4382	1	1	0	0	0	0	0	6976	1910	1934	2763	2805	734	779					1922.0	2784.0	756.5
29007	0.993210269	0.0	0.0	0.006789731	0.0	0.0	0.0	186427.27548	0.0	47.22645855	14.6715596	13.890865	48081.9468	1	0	0	1	0	0	0	4775	2204	2233	1363	1384	736	771	29007.0	5.0	23480.9829	4227.0153	2218.5	1373.5	753.5
29705	0.998530323	0.0	0.0	0.001469677	0.0	0.0	0.0	18090941.849999998	0.0	271.4684583	91.7445534	16.752472	819633.058	1	0	0	1	0	0	0	463367	352	495	2953	3121	748	900	29705.0	174.0	513067.199	90352.5898	423.5	3037.0	824.0
29787	0.9955066	0.0	0.0	0.0044934	0.0	0.0	0.0	1251190.5543	0.0	100.403678	27.1083563	11.180915	223339.677	1	0	0	1	0	0	0	32047	2307	2358	1513	1583	750	812	29787.0	20.0	135479.092	27566.8603	2332.5	1548.0	781.0
30051	0.997898309	0.0	0.002101691	0.0	0.0	0.0	0.0	1541860.9344	6.884855613	187.6708232	102.2976005	15.411328	286213.099	1	0	1	0	0	0	0	39492	1363	1471	3728	3832	754	842					1417.0	3780.0	798.0
30317	0.20951635	0.0	0.000391619	0.790092031	0.0	0.0	0.0	199389.33945000003	0.0	64.90597117	20.54222598	14.059488	61058.2794	1	0	1	1	0	0	0	5107	2108	2145	1165	1207	760	801	30317.0	5.0	26377.4857	4981.2588	2126.5	1186.0	780.5
30842	0.978575161	0.0	0.021424839	0.0	0.0	0.0	0.0	224142.1965	0.0	57.32948217	16.42052606	16.644674	55188.0337	1	0	1	0	0	0	0	5741	600	637	2403	2440	769	800	30842.0	5.0	39933.1189	5885.2707	618.5	2421.5	784.5
32305	0.975169946	0.0	0.0	0.024830054	0.0	0.0	0.0	545616.9999	0.0	128.6098091	82.41789453	13.500133	79093.837	1	0	0	1	0	0	0	13975	2085	2136	1711	1746	795	827	32305.0	22.0	25064.4044	6050.6369	2110.5	1728.5	811.0
32455	0.997833055	4.51e-05	0.0	0.0021218	0.0	0.0	0.0	864827.3463300001	0.0	80.48996456	33.9113641	10.849675	236431.87	1	1	0	1	0	0	0	22151	1505	1576	898	956	798	863	32455.0	59.0	25103.0244	7620.7053	1540.5	927.0	830.5
33455	0.999898719	0.0	0.0	0.000101281	0.0	0.0	0.0	770969.50965	0.0	70.62539886	23.54743264	13.525162	507660.394	1	0	0	1	0	0	0	19747	1021	1064	1911	1967	815	876	33455.0	62.0	76120.0941	17400.0627	1042.5	1939.0	845.5
34215								1435704.7545	0.0	101.6393278	28.60209667	15.611447	205188.26	0	0	0	0	0	0	0	36773	980	1034	960	1028	828	888	34215.0	59.0	107556.805	23375.418	1007.0	994.0	858.0
34588	0.99983356	7.24e-06	0.0	0.000137494	2.17e-05	0.0	0.0	5395185.8307	0.0	144.251597	61.46700423	12.519727	684076.726	1	1	0	1	1	0	0	138188	948	1011	1826	1917	835	928	34588.0	223.0	300579.753	68813.7648	979.5	1871.5	881.5
