MET_ID	1	10	11	100	101	110	111	Volume corrected	min_dist	max_dist	mean_dist	Nearest Vessel Thickness	Vessel Volume	Clone1	Clone2	Clone3	Clone4	Clone5	Clone6	Clone7	Volume	Box.X.Min	Box.X.Max	Box.Y.Min	Box.Y.Max	Box.Z.Min	Box.Z.Max	centroid_x	centroid_y	centroid_z
11	0.351683938	0.648316062	0.0	0.0	0.0	0.0	0.0	783658.2771000001	67.81105571	160.3535655	115.4444477	19.681295	30383.8721	1	1	0	0	0	0	0	20072	787	820	366	428	0	70	803.5	397.0	35.0
43	0.0	5.02e-05	0.0	0.99980911	0.0	0.000140655	0.0	3886042.3947	56.2313595	272.027553	144.4266437	20.001568	357732.993	0	1	0	1	0	1	0	99534	934	1005	719	884	0	106	969.5	801.5	53.0
53	0.315374547	0.353468639	0.0	0.330133751	0.0	0.001023064	0.0	2596590.3266999996	0.0	115.4542846	49.90915757	17.099918	498756.337	1	1	0	1	0	1	0	66507	857	921	750	817	0	88	889.0	783.5	44.0
56	0.993950447	0.0	0.0	0.006049553	0.0	0.0	0.0	883177.2561600001	20.09550079	152.0605694	94.18895329	66.01043	46317.8307	1	0	0	1	0	0	0	22621	609	642	777	828	0	53	625.5	802.5	26.5
64	0.983275884	0.0	0.0	0.016724116	0.0	0.0	0.0	310230.60336	87.88274109	175.6324322	129.1424655	12.101727	1679.3143	1	0	0	1	0	0	0	7946	964	990	840	872	0	27	977.0	856.0	13.5
65	0.025187278	4.76e-05	0.0	0.97462227	0.0	4.76e-05	9.52e-05	2459981.1042	0.0	111.9809809	54.37132669	27.608593	190270.212	1	1	0	1	0	1	1	63008	748	796	848	909	0	73	772.0	878.5	36.5
71	0.966347862	0.0	0.0	0.033649505	0.0	0.0	2.63e-06	14872875.219	0.0	172.6334113	54.90291008	22.588663	16798766.4	1	0	0	1	0	0	1	380942	595	707	824	1005	0	198	651.0	914.5	99.0
87	0.702444045	0.0	0.0	0.297463785	9.22e-05	0.0	0.0	2544820.155	0.0	134.0088154	53.51044517	36.416714	317585.666	1	0	0	1	1	0	0	65181	574	643	1072	1130	0	67	608.5	1101.0	33.5
101	0.065311046	0.934688954	0.0	0.0	0.0	0.0	0.0	906251.292	0.0	127.0187405	60.28268967	15.466108	19878.3945	1	1	0	0	0	0	0	23212	1022	1091	1180	1224	0	30	1056.5	1202.0	15.0
102	0.19466484	0.80533516	0.0	0.0	0.0	0.0	0.0	2337349.0472999997	10.0477504	167.771345	103.92454	14.312346	1132.5608	1	1	0	0	0	0	0	59867	1120	1176	1183	1250	0	42	1148.0	1216.5	21.0
