MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
19 	 4 	 781.0764 	 285.8289
40 	 208 	 337698.383 	 71935.0723
43 	 42 	 102516.278 	 21459.4683
60 	 3 	 195.2691 	 83.6611
66 	 19 	 10232.1009 	 2880.0862
127 	 3 	 781.0764 	 286.0202
297 	 32 	 9333.863 	 3234.5608
10241 	 2 	 702.9688 	 244.2728
10724 	 3 	 1718.3681 	 489.1631
10900 	 197 	 157582.164 	 42477.3674
11758 	 36 	 257091.298 	 36409.4944
11761 	 4 	 3553.8976 	 911.607
11828 	 1 	 1132.5608 	 406.302
11956 	 1 	 742.0226 	 261.4579
1409 	 65 	 72327.6749 	 15781.0873
12532 	 10 	 2968.0903 	 1020.8353
13399 	 12 	 5897.1268 	 1655.9043
13901 	 7 	 17964.7573 	 3544.1365
14390 	 7 	 3592.9515 	 1047.1989
14878 	 4 	 742.0226 	 263.0553
15945 	 5 	 1054.4531 	 393.9466
16043 	 3 	 390.5382 	 154.5418
17326 	 8 	 3983.4897 	 1098.2719
17453 	 3 	 1874.5834 	 579.8963
17814 	 8 	 3241.4671 	 978.9729
18107 	 1 	 3436.7362 	 915.9036
1839 	 16 	 2811.8751 	 1030.8109
18314 	 3 	 312.4306 	 121.1617
19155 	 1 	 2382.283 	 587.6715
19480 	 2 	 234.3229 	 99.2109
19977 	 1 	 702.9688 	 236.051
20463 	 9 	 3749.1667 	 1035.9225
20695 	 6 	 38038.4208 	 8063.8695
21920 	 12 	 3514.8438 	 1202.9927
22186 	 13 	 6053.3421 	 1827.7391
22303 	 2 	 820.1302 	 278.9591
22962 	 4 	 4803.6199 	 1245.3672
23053 	 230 	 1268429.03 	 174171.02
23164 	 1 	 820.1302 	 242.5748
23197 	 184 	 192418.172 	 48794.5116
23323 	 6 	 15621.5281 	 2991.7862
23405 	 1 	 1874.5834 	 526.5877
23551 	 1 	 39.0538 	 17.4092
24094 	 1 	 546.7535 	 173.3765
24158 	 1 	 78.1076 	 33.1259
24648 	 1 	 1405.9375 	 420.5585
24867 	 95 	 89394.1944 	 23260.979
24968 	 1 	 78.1076 	 31.6876
27041 	 5 	 7732.6564 	 1871.5784
27815 	 1 	 48778.2214 	 5298.2492
28046 	 36 	 47098.9071 	 9654.6287
28193 	 1 	 156.2153 	 60.2965
28847 	 8 	 10349.2623 	 2611.0574
595 	 2 	 156.2153 	 63.3753
3308 	 5 	 937.2917 	 353.4962
6727 	 5 	 2382.283 	 645.3022
7812 	 23 	 20073.6636 	 5375.9239
9174 	 20 	 12536.2763 	 3547.1869
9446 	 1 	 7459.2797 	 1612.2908
10054 	 56 	 276461.993 	 46169.6748
