MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
17 	 6 	 6795.3647 	 1673.5387
18 	 55 	 42060.9643 	 9486.2277
22 	 2 	 2030.7986 	 724.4335
26 	 3 	 6951.58 	 1564.7076
39 	 3 	 3202.4133 	 1072.5511
41 	 8 	 9294.8092 	 2020.2486
53 	 11 	 9568.1859 	 1870.6647
65 	 5 	 1054.4531 	 365.2721
71 	 89 	 112982.702 	 27726.2886
74 	 29 	 54870.6173 	 11153.468
82 	 1 	 4764.5661 	 1057.6402
87 	 16 	 48192.4141 	 8651.7214
101 	 2 	 4100.6511 	 1152.9168
113 	 3 	 1288.7761 	 388.973
130 	 2 	 663.9149 	 231.5225
131 	 51 	 46122.5616 	 12157.7152
133 	 18 	 21323.3858 	 5410.0928
164 	 1 	 15152.8822 	 2190.3627
174 	 22 	 29759.011 	 7275.2837
189 	 81 	 111069.065 	 25576.7474
228 	 1 	 312.4306 	 122.6873
281 	 1 	 781.0764 	 237.9407
10425 	 2 	 1366.8837 	 400.7457
10694 	 6 	 8982.3786 	 1879.3433
10928 	 2 	 702.9688 	 218.4004
11231 	 19 	 26947.1359 	 6088.2297
11346 	 1 	 39.0538 	 17.4092
11417 	 3 	 702.9688 	 245.5637
11457 	 1 	 195.2691 	 73.3911
11542 	 1 	 156.2153 	 63.061
11562 	 7 	 18511.5108 	 4595.5358
11583 	 2 	 4061.5973 	 793.5722
12824 	 20 	 14567.0749 	 4027.9488
12903 	 20 	 16832.1965 	 4337.4998
13204 	 28 	 7849.8179 	 2560.2486
13318 	 1 	 1874.5834 	 429.1669
13367 	 31 	 12262.8995 	 3882.3876
1396 	 8 	 1562.1528 	 561.2626
1429 	 6 	 6639.1494 	 1569.5259
1529 	 3 	 2187.0139 	 526.922
13910 	 16 	 38077.4747 	 7420.6562
14018 	 9 	 25814.5751 	 4768.0093
14500 	 8 	 781.0764 	 314.3829
15293 	 19 	 9841.5627 	 2728.4641
15321 	 3 	 1288.7761 	 425.2399
15659 	 1 	 1015.3993 	 305.6352
16013 	 5 	 15270.0437 	 3081.3224
16015 	 4 	 4569.297 	 1011.067
16730 	 1 	 1835.5295 	 441.9169
16745 	 4 	 47919.0373 	 8221.1575
16762 	 1 	 39.0538 	 17.4092
16908 	 49 	 14059.3753 	 4596.937
17257 	 4 	 390.5382 	 159.7616
17307 	 13 	 5116.0504 	 1640.5772
17488 	 1 	 4452.1355 	 924.9567
17532 	 2 	 663.9149 	 227.7452
17627 	 22 	 12223.8457 	 3314.7861
18216 	 5 	 351.4844 	 149.3495
18289 	 31 	 13356.4065 	 4037.1913
18338 	 1 	 429.592 	 152.8641
18355 	 13 	 15660.5819 	 3518.9468
18403 	 31 	 35265.5996 	 8203.7796
18588 	 3 	 54909.6711 	 7026.5825
18613 	 2 	 2733.7674 	 799.028
18943 	 2 	 78.1076 	 34.8184
19041 	 34 	 15738.6895 	 4277.2647
19047 	 1 	 39.0538 	 17.4092
19053 	 1 	 429.592 	 143.5037
19247 	 1 	 39.0538 	 17.4092
19407 	 7 	 9997.778 	 2187.3226
19580 	 4 	 9177.6477 	 2052.3947
19950 	 8 	 31360.2176 	 6230.0439
20005 	 41 	 68578.5082 	 15568.1353
20236 	 11 	 16402.6045 	 3227.9234
2280 	 11 	 18745.8337 	 4073.0983
20429 	 4 	 5779.9654 	 1483.8786
20456 	 23 	 9451.0245 	 3164.1691
20722 	 27 	 18160.0264 	 4978.2858
21037 	 5 	 35109.3843 	 5685.0666
21320 	 5 	 4334.974 	 1244.461
21331 	 5 	 57994.9229 	 10145.0939
21817 	 15 	 9568.1859 	 2535.7697
21869 	 5 	 13512.6218 	 3631.5257
22241 	 7 	 11638.0384 	 2874.1144
22659 	 56 	 120402.928 	 23767.8311
22712 	 1 	 2655.6598 	 561.8472
23141 	 3 	 156.2153 	 67.9443
23293 	 3 	 2147.9601 	 591.3367
23373 	 1 	 429.592 	 151.9441
23531 	 7 	 1405.9375 	 528.608
2448 	 1 	 624.8611 	 200.6149
23817 	 1 	 3514.8438 	 700.7775
23962 	 3 	 1210.6684 	 410.3057
24299 	 6 	 1874.5834 	 686.6653
24426 	 5 	 4647.4046 	 1265.7982
24525 	 2 	 351.4844 	 133.7173
24580 	 3 	 9060.4863 	 1689.4787
24716 	 35 	 75764.4111 	 16647.5387
24773 	 1 	 13161.1374 	 2997.3167
24825 	 32 	 25814.5751 	 6356.1237
24972 	 9 	 84278.1439 	 10645.7867
25237 	 1 	 585.8073 	 193.6826
25262 	 8 	 23627.5612 	 5561.4689
25436 	 14 	 20268.9327 	 3942.9325
26071 	 1 	 546.7535 	 170.6523
26177 	 1 	 1991.7448 	 614.8604
26282 	 1 	 39.0538 	 17.4092
26435 	 2 	 1835.5295 	 565.746
26829 	 1 	 39.0538 	 17.4092
2879 	 28 	 38116.5285 	 7893.8996
2902 	 5 	 3827.2744 	 963.8494
27036 	 1 	 1562.1528 	 418.5387
27368 	 4 	 32922.3704 	 6191.8238
27720 	 1 	 11130.3387 	 1766.9148
28412 	 1 	 6756.3109 	 991.6469
28614 	 2 	 17574.2191 	 2801.1419
29135 	 19 	 15270.0437 	 3935.8384
29532 	 4 	 36905.8601 	 5970.8612
29599 	 12 	 6912.5262 	 1862.3022
30746 	 6 	 4139.7049 	 1257.8622
30754 	 5 	 859.184 	 343.3961
3540 	 11 	 29173.2037 	 5559.4652
3541 	 30 	 15855.851 	 4518.0987
3608 	 1 	 351.4844 	 118.9381
3628 	 1 	 3475.79 	 773.7669
338 	 121 	 1397111.36 	 166979.805
347 	 26 	 121926.027 	 18366.6498
387 	 29 	 37296.3983 	 9749.6127
658 	 1 	 78.1076 	 33.1259
3929 	 4 	 2889.9827 	 603.0207
4018 	 2 	 312.4306 	 112.8881
4024 	 13 	 15191.936 	 4804.6675
4258 	 12 	 14996.6669 	 4034.1067
4484 	 5 	 3632.0053 	 1072.8359
4497 	 2 	 3827.2744 	 914.1608
4645 	 14 	 7498.3335 	 2383.8159
4800 	 3 	 3124.3056 	 739.8513
4873 	 9 	 44365.1397 	 6308.6078
5086 	 3 	 2343.2292 	 715.0703
5734 	 16 	 24603.9067 	 5312.7987
5749 	 23 	 167775.211 	 23895.9837
5815 	 3 	 3788.2206 	 1136.1306
6559 	 18 	 20542.3094 	 4008.4484
6605 	 10 	 9997.778 	 2278.2024
6613 	 21 	 30579.1412 	 7430.4454
6681 	 20 	 15738.6895 	 4394.8699
6847 	 3 	 12536.2763 	 2752.7381
6849 	 1 	 585.8073 	 212.6191
6935 	 18 	 13278.2989 	 3293.1206
6940 	 15 	 10739.8005 	 3195.7513
880 	 1 	 390.5382 	 140.0392
7308 	 2 	 1132.5608 	 369.1432
7373 	 56 	 127276.4 	 23048.508
7534 	 32 	 27962.5352 	 6456.4434
7797 	 4 	 663.9149 	 266.9866
7992 	 8 	 75608.1958 	 11082.9894
8004 	 1 	 1210.6684 	 351.5513
8255 	 5 	 1835.5295 	 669.5727
8334 	 7 	 5311.3195 	 1443.0475
8432 	 6 	 4217.8126 	 1199.8701
8629 	 10 	 8474.679 	 1956.5009
8811 	 2 	 2187.0139 	 625.8476
8875 	 1 	 4764.5661 	 899.6753
9027 	 1 	 820.1302 	 250.2299
9076 	 40 	 59557.0757 	 12750.1884
9098 	 1 	 39.0538 	 17.4092
9383 	 10 	 5350.3734 	 1683.207
9555 	 54 	 131689.482 	 24982.9746
9620 	 13 	 20307.9865 	 4642.5708
9817 	 1 	 390.5382 	 135.9732
9849 	 5 	 3475.79 	 890.418
10146 	 1 	 6365.7727 	 1036.2855
10208 	 1 	 28860.7731 	 4967.5194
